Channel              :,CH1,CH2,CH3
Frequency            :,  ?,  ?,  ?
Period               :,  ?,  ?,  ?
PK-PK                :,5.771V,265.0mV,121.0mV
Average              :,2.464V,-36.12mV,1.309V
Vertical pos         :,1.000000mV,1.000000mV,1.000000mV
Probe attenuation    :,1X,1X,1X
Voltage per ADC value:,0.312500mV,0.156250mV,0.031250mV
Time interval        :,0.40000uS,0.40000uS,0.40000uS

index,CH1_Voltage(mV),CH2_Voltage(mV),CH3_Voltage(mV)
400,4943.750000400,-38.125000400,1585.125000
401,4943.750000401,-38.125000401,1585.125000
402,4943.750000402,-38.125000402,1585.125000
403,4943.750000403,10.000000403,1594.750000
404,4943.750000404,10.000000404,1585.125000
405,4943.750000405,-38.125000405,1594.750000
406,4943.750000406,10.000000406,1585.125000
407,4943.750000407,-38.125000407,1585.125000
408,4943.750000408,-38.125000408,1585.125000
409,4943.750000409,-38.125000409,1585.125000
410,4943.750000410,10.000000410,1585.125000
411,4943.750000411,-38.125000411,1585.125000
412,4943.750000412,-38.125000412,1585.125000
413,4943.750000413,-38.125000413,1585.125000
414,4943.750000414,-38.125000414,1585.125000
415,4943.750000415,-38.125000415,1585.125000
416,4943.750000416,-38.125000416,1585.125000
417,4943.750000417,-38.125000417,1585.125000
418,4943.750000418,-38.125000418,1585.125000
419,4943.750000419,-38.125000419,1585.125000
420,4943.750000420,-38.125000420,1585.125000
421,4943.750000421,-38.125000421,1585.125000
422,4943.750000422,-38.125000422,1585.125000
423,4943.750000423,-38.125000423,1585.125000
424,4943.750000424,-38.125000424,1585.125000
425,4943.750000425,10.000000425,1585.125000
426,4943.750000426,-38.125000426,1585.125000
427,4943.750000427,-38.125000427,1585.125000
428,4943.750000428,-38.125000428,1585.125000
429,4943.750000429,-38.125000429,1585.125000
430,4943.750000430,-38.125000430,1585.125000
431,4943.750000431,-38.125000431,1575.500000
432,4943.750000432,-38.125000432,1585.125000
433,4943.750000433,-38.125000433,1585.125000
434,4943.750000434,-38.125000434,1575.500000
435,4943.750000435,-38.125000435,1575.500000
436,4943.750000436,-38.125000436,1575.500000
437,4943.750000437,-38.125000437,1585.125000
438,4943.750000438,-38.125000438,1585.125000
439,4943.750000439,-38.125000439,1575.500000
440,4943.750000440,-38.125000440,1575.500000
441,4943.750000441,-38.125000441,1575.500000
442,4943.750000442,-38.125000442,1575.500000
443,4943.750000443,-38.125000443,1575.500000
444,5041.250000444,-38.125000444,1575.500000
445,4943.750000445,10.000000445,1575.500000
446,4943.750000446,-38.125000446,1575.500000
447,4943.750000447,10.000000447,1575.500000
448,4943.750000448,-38.125000448,1575.500000
449,4943.750000449,-38.125000449,1575.500000
450,4943.750000450,-38.125000450,1575.500000
451,4943.750000451,10.000000451,1575.500000
452,4943.750000452,-38.125000452,1575.500000
453,4943.750000453,-38.125000453,1575.500000
454,4943.750000454,-38.125000454,1575.500000
455,4943.750000455,-38.125000455,1575.500000
456,4943.750000456,-38.125000456,1575.500000
457,4943.750000457,-38.125000457,1575.500000
458,4943.750000458,-38.125000458,1575.500000
459,4943.750000459,-38.125000459,1575.500000
460,4943.750000460,-38.125000460,1575.500000
461,4943.750000461,-38.125000461,1575.500000
462,4943.750000462,-38.125000462,1565.875000
463,4943.750000463,-38.125000463,1575.500000
464,4943.750000464,-38.125000464,1575.500000
465,4943.750000465,10.000000465,1575.500000
466,4943.750000466,-38.125000466,1565.875000
467,4943.750000467,-38.125000467,1575.500000
468,4943.750000468,-38.125000468,1575.500000
469,4943.750000469,-38.125000469,1575.500000
470,4943.750000470,-38.125000470,1565.875000
471,4943.750000471,-38.125000471,1565.875000
472,4943.750000472,-38.125000472,1565.875000
473,4943.750000473,-38.125000473,1565.875000
474,4943.750000474,-38.125000474,1565.875000
475,4943.750000475,-38.125000475,1575.500000
476,4943.750000476,-38.125000476,1565.875000
477,5041.250000477,-38.125000477,1565.875000
478,4943.750000478,-38.125000478,1565.875000
479,4943.750000479,-38.125000479,1565.875000
480,4943.750000480,10.000000480,1565.875000
481,4943.750000481,10.000000481,1575.500000
482,4943.750000482,-38.125000482,1565.875000
483,4943.750000483,-38.125000483,1565.875000
484,4943.750000484,-38.125000484,1565.875000
485,4943.750000485,-38.125000485,1565.875000
486,4943.750000486,-38.125000486,1565.875000
487,4943.750000487,-38.125000487,1565.875000
488,4943.750000488,-38.125000488,1565.875000
489,4943.750000489,-38.125000489,1565.875000
490,4943.750000490,10.000000490,1565.875000
491,4943.750000491,-38.125000491,1565.875000
492,4943.750000492,-38.125000492,1565.875000
493,4943.750000493,10.000000493,1565.875000
494,4943.750000494,-38.125000494,1565.875000
495,4943.750000495,-38.125000495,1565.875000
496,4943.750000496,-38.125000496,1565.875000
497,4943.750000497,-38.125000497,1565.875000
498,4943.750000498,-38.125000498,1565.875000
499,4943.750000499,10.000000499,1556.250000
500,4943.750000500,-38.125000500,1565.875000
501,4943.750000501,-38.125000501,1565.875000
502,4943.750000502,-38.125000502,1556.250000
503,4943.750000503,-38.125000503,1556.250000
504,4943.750000504,-38.125000504,1565.875000
505,4943.750000505,-38.125000505,1556.250000
506,4943.750000506,-38.125000506,1565.875000
507,4943.750000507,10.000000507,1565.875000
508,4943.750000508,10.000000508,1565.875000
509,4943.750000509,10.000000509,1556.250000
510,4943.750000510,-38.125000510,1556.250000
511,4943.750000511,-38.125000511,1556.250000
512,4943.750000512,-38.125000512,1565.875000
513,5041.250000513,-38.125000513,1556.250000
514,4943.750000514,10.000000514,1556.250000
515,4943.750000515,-38.125000515,1556.250000
516,4943.750000516,-38.125000516,1556.250000
517,4943.750000517,-38.125000517,1556.250000
518,4943.750000518,-38.125000518,1556.250000
519,4943.750000519,-38.125000519,1556.250000
520,4943.750000520,10.000000520,1556.250000
521,4943.750000521,-38.125000521,1556.250000
522,4943.750000522,-38.125000522,1556.250000
523,4943.750000523,-38.125000523,1556.250000
524,5041.250000524,-38.125000524,1556.250000
525,4943.750000525,-38.125000525,1556.250000
526,4943.750000526,-38.125000526,1556.250000
527,4943.750000527,-38.125000527,1556.250000
528,4943.750000528,-38.125000528,1556.250000
529,4943.750000529,-38.125000529,1556.250000
