Channel              :,CH1,CH2,CH3
Frequency            :,  ?,  ?,  ?
Period               :,  ?,  ?,  ?
PK-PK                :,6.781V,4.016V?,695.3mV
Average              :,2.685V,-50.10mV?,702.7mV
Vertical pos         :,1.000000mV,1.000000mV,1.000000mV
Probe attenuation    :,1X,1X,1X
Voltage per ADC value:,0.312500mV,0.156250mV,0.031250mV
Time interval        :,0.00200uS,0.00200uS,0.00200uS

index,CH1_Voltage(mV),CH2_Voltage(mV),CH3_Voltage(mV)
448,5041.250000448,-38.125000448,293.125000
449,5041.250000449,-38.125000449,293.125000
450,5137.500000450,-38.125000450,293.125000
451,5041.250000451,-38.125000451,293.125000
452,5041.250000452,-38.125000452,293.125000
453,5041.250000453,-38.125000453,293.125000
454,5041.250000454,10.000000454,293.125000
455,5041.250000455,-38.125000455,293.125000
456,5041.250000456,10.000000456,293.125000
457,5041.250000457,-38.125000457,293.125000
458,5041.250000458,-38.125000458,293.125000
459,5041.250000459,-38.125000459,293.125000
460,5041.250000460,-38.125000460,283.500000
461,5041.250000461,-38.125000461,293.125000
462,5041.250000462,-38.125000462,293.125000
463,5041.250000463,-38.125000463,293.125000
464,5041.250000464,10.000000464,293.125000
465,5041.250000465,-38.125000465,293.125000
466,5041.250000466,-38.125000466,293.125000
467,5041.250000467,-38.125000467,293.125000
468,5041.250000468,-38.125000468,293.125000
469,5041.250000469,-38.125000469,293.125000
470,5041.250000470,10.000000470,293.125000
471,5041.250000471,-38.125000471,283.500000
472,5041.250000472,10.000000472,283.500000
473,5041.250000473,-38.125000473,293.125000
474,5041.250000474,-38.125000474,293.125000
475,5041.250000475,-38.125000475,293.125000
476,5041.250000476,-38.125000476,293.125000
477,5041.250000477,-38.125000477,293.125000
478,5041.250000478,-38.125000478,293.125000
479,5041.250000479,-38.125000479,283.500000
480,5041.250000480,10.000000480,293.125000
481,5041.250000481,-38.125000481,283.500000
482,5041.250000482,10.000000482,293.125000
483,5041.250000483,-38.125000483,293.125000
484,5041.250000484,-38.125000484,293.125000
485,5041.250000485,-38.125000485,293.125000
486,5041.250000486,10.000000486,293.125000
487,5041.250000487,-38.125000487,293.125000
488,5041.250000488,-38.125000488,293.125000
489,5041.250000489,-38.125000489,293.125000
490,5041.250000490,-38.125000490,293.125000
491,5041.250000491,-38.125000491,293.125000
492,5041.250000492,-38.125000492,293.125000
493,5041.250000493,-38.125000493,293.125000
494,5041.250000494,-38.125000494,293.125000
495,5041.250000495,-38.125000495,293.125000
496,5041.250000496,-38.125000496,293.125000
497,5041.250000497,10.000000497,283.500000
498,5041.250000498,-38.125000498,293.125000
499,5041.250000499,-38.125000499,293.125000
500,5041.250000500,10.000000500,283.500000
501,5137.500000501,-38.125000501,293.125000
502,5041.250000502,10.000000502,293.125000
503,5041.250000503,-38.125000503,293.125000
504,5041.250000504,-38.125000504,293.125000
505,5041.250000505,-38.125000505,293.125000
506,5041.250000506,-38.125000506,293.125000
507,5041.250000507,-38.125000507,293.125000
508,5041.250000508,-38.125000508,293.125000
509,5041.250000509,-38.125000509,293.125000
510,5041.250000510,-38.125000510,293.125000
511,5041.250000511,-38.125000511,293.125000
512,5041.250000512,-38.125000512,293.125000
513,5041.250000513,-38.125000513,293.125000
514,5041.250000514,-38.125000514,293.125000
515,5041.250000515,-38.125000515,293.125000
516,5041.250000516,-38.125000516,293.125000
517,5041.250000517,-38.125000517,293.125000
518,5041.250000518,10.000000518,293.125000
519,5041.250000519,-38.125000519,283.500000
520,5041.250000520,-38.125000520,293.125000
521,5041.250000521,-38.125000521,293.125000
522,5041.250000522,-38.125000522,293.125000
523,5041.250000523,-38.125000523,283.500000
524,5041.250000524,-38.125000524,293.125000
525,5041.250000525,-38.125000525,293.125000
526,5041.250000526,10.000000526,293.125000
527,5041.250000527,-38.125000527,293.125000
528,5041.250000528,-38.125000528,293.125000
529,5041.250000529,-38.125000529,293.125000
530,5041.250000530,-38.125000530,293.125000
531,5041.250000531,-38.125000531,293.125000
532,5041.250000532,-38.125000532,293.125000
533,5041.250000533,-38.125000533,293.125000
534,5041.250000534,10.000000534,293.125000
535,5041.250000535,-38.125000535,293.125000
536,5041.250000536,10.000000536,293.125000
537,5041.250000537,-38.125000537,283.500000
538,5041.250000538,-38.125000538,293.125000
539,5041.250000539,-38.125000539,293.125000
540,5041.250000540,-38.125000540,293.125000
541,5137.500000541,-38.125000541,293.125000
542,5041.250000542,10.000000542,293.125000
543,5041.250000543,-38.125000543,293.125000
544,5041.250000544,10.000000544,283.500000
545,5041.250000545,-38.125000545,293.125000
546,5041.250000546,10.000000546,293.125000
547,5041.250000547,-38.125000547,293.125000
548,5041.250000548,-38.125000548,293.125000
549,5041.250000549,-38.125000549,293.125000
550,5041.250000550,-38.125000550,293.125000
551,5041.250000551,-38.125000551,293.125000
552,5041.250000552,-38.125000552,293.125000
553,5041.250000553,-38.125000553,293.125000
554,5041.250000554,-38.125000554,293.125000
555,5041.250000555,-38.125000555,293.125000
556,5041.250000556,-38.125000556,293.125000
557,5041.250000557,-38.125000557,293.125000
558,5041.250000558,10.000000558,293.125000
559,5041.250000559,-38.125000559,293.125000
560,5041.250000560,-38.125000560,293.125000
561,5041.250000561,-38.125000561,293.125000
562,5041.250000562,-38.125000562,293.125000
563,5041.250000563,-38.125000563,293.125000
564,5041.250000564,-38.125000564,293.125000
565,5041.250000565,-38.125000565,293.125000
566,5041.250000566,10.000000566,293.125000
567,5041.250000567,-38.125000567,283.500000
568,5041.250000568,10.000000568,293.125000
569,5041.250000569,-38.125000569,293.125000
570,5041.250000570,10.000000570,293.125000
571,5041.250000571,-38.125000571,293.125000
572,5041.250000572,-38.125000572,293.125000
573,5041.250000573,-38.125000573,293.125000
574,5041.250000574,10.000000574,293.125000
575,5041.250000575,-38.125000575,283.500000
576,5041.250000576,10.000000576,293.125000
577,5041.250000577,-38.125000577,293.125000
578,5041.250000578,10.000000578,293.125000
579,5041.250000579,-38.125000579,293.125000
580,5041.250000580,-38.125000580,293.125000
581,5041.250000581,10.000000581,283.500000
582,5041.250000582,-38.125000582,293.125000
583,5041.250000583,-38.125000583,293.125000
584,5041.250000584,-38.125000584,293.125000
585,5041.250000585,-38.125000585,293.125000
586,5041.250000586,10.000000586,293.125000
587,5041.250000587,-38.125000587,293.125000
588,5041.250000588,-38.125000588,293.125000
589,5041.250000589,-38.125000589,293.125000
590,5041.250000590,-38.125000590,293.125000
591,5041.250000591,-38.125000591,293.125000
592,5041.250000592,-38.125000592,283.500000
593,5041.250000593,-38.125000593,293.125000
594,5041.250000594,-38.125000594,293.125000
595,5041.250000595,-38.125000595,293.125000
596,5041.250000596,-38.125000596,293.125000
597,5041.250000597,-38.125000597,293.125000
598,5041.250000598,-38.125000598,293.125000
599,5041.250000599,-38.125000599,283.500000
600,5041.250000600,-38.125000600,293.125000
601,5041.250000601,-38.125000601,293.125000
602,5041.250000602,10.000000602,293.125000
603,5041.250000603,-38.125000603,293.125000
604,5041.250000604,-38.125000604,293.125000
605,5041.250000605,-38.125000605,293.125000
606,5041.250000606,10.000000606,293.125000
607,5041.250000607,-38.125000607,293.125000
608,5041.250000608,-38.125000608,283.500000
609,5041.250000609,-38.125000609,293.125000
610,5041.250000610,-38.125000610,293.125000
611,5041.250000611,-38.125000611,293.125000
612,5041.250000612,-38.125000612,293.125000
613,5041.250000613,-38.125000613,293.125000
614,5041.250000614,-38.125000614,293.125000
615,5041.250000615,-38.125000615,283.500000
616,5041.250000616,-38.125000616,293.125000
617,5041.250000617,-38.125000617,293.125000
618,5041.250000618,10.000000618,293.125000
619,5041.250000619,-38.125000619,293.125000
620,5041.250000620,10.000000620,293.125000
621,5041.250000621,-38.125000621,293.125000
622,5041.250000622,-38.125000622,293.125000
623,5041.250000623,-38.125000623,283.500000
624,5041.250000624,-38.125000624,283.500000
