Channel              :,CH1,CH2
Frequency            :,  ?,  ?
Period               :,  ?,  ?
PK-PK                :,1.550V,1.730V
Average              :,1.950V,-23.35mV
Vertical pos         :,1.000000mV,1.000000mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,0.312500mV,0.312500mV
Time interval        :,0.00200uS,0.00200uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
632,1941.250000632,12.500000
633,1941.250000633,-83.750000
634,1941.250000634,12.500000
635,1941.250000635,-83.750000
636,1941.250000636,12.500000
637,1941.250000637,12.500000
638,1941.250000638,12.500000
639,1941.250000639,-83.750000
640,1941.250000640,12.500000
641,1941.250000641,-83.750000
642,1941.250000642,12.500000
643,1941.250000643,-83.750000
644,1941.250000644,12.500000
645,1941.250000645,12.500000
646,1941.250000646,12.500000
647,1941.250000647,12.500000
648,1941.250000648,12.500000
649,1941.250000649,12.500000
650,1941.250000650,12.500000
651,1941.250000651,12.500000
652,1941.250000652,12.500000
653,1941.250000653,-83.750000
654,1941.250000654,-83.750000
655,1941.250000655,12.500000
656,1941.250000656,12.500000
657,1941.250000657,12.500000
658,1941.250000658,-83.750000
659,1941.250000659,-83.750000
660,1941.250000660,12.500000
661,1941.250000661,12.500000
662,1941.250000662,12.500000
663,1941.250000663,12.500000
664,1941.250000664,-83.750000
665,1941.250000665,12.500000
666,1941.250000666,12.500000
667,1941.250000667,12.500000
668,1941.250000668,12.500000
669,1941.250000669,12.500000
670,1941.250000670,12.500000
671,1941.250000671,-83.750000
672,1941.250000672,12.500000
673,1941.250000673,12.500000
674,1941.250000674,12.500000
675,1941.250000675,-83.750000
676,1941.250000676,-83.750000
677,1941.250000677,12.500000
678,1941.250000678,-83.750000
679,1941.250000679,-83.750000
680,1941.250000680,12.500000
681,1941.250000681,12.500000
682,1941.250000682,-83.750000
683,1941.250000683,12.500000
684,1941.250000684,12.500000
685,1941.250000685,12.500000
686,1941.250000686,12.500000
687,1941.250000687,-83.750000
688,1941.250000688,12.500000
689,1941.250000689,12.500000
690,1941.250000690,12.500000
691,1941.250000691,-83.750000
692,1941.250000692,12.500000
693,1941.250000693,12.500000
694,1941.250000694,12.500000
695,1941.250000695,-83.750000
696,1941.250000696,12.500000
